is_coarse,dose,risk,distance,threshold,randomangle
FALSE,0.7045441314718187,2.4659004428705975e-6,1.5000000000000002,1,close
FALSE,0.6313735046132568,2.2098039575741328e-6,1.6,1,close
FALSE,0.5540044666317644,1.939013163463792e-6,1.7000000000000002,1,close
FALSE,0.4819679815092074,1.6868860348661173e-6,1.8000000000000003,1,close
FALSE,0.4397434382773769,1.5391004623504976e-6,1.9000000000000001,1,close
FALSE,0.38841599875568594,1.3594547433022443e-6,2,1,close
FALSE,0.3626933652626821,1.2694256913299663e-6,2.1,1,close
FALSE,0.3172449139357527,1.1103563641267588e-6,2.2,1,close
FALSE,0.30058152589932186,1.0520345956530934e-6,2.3000000000000003,1,close
FALSE,0.267525120268296,9.363373197537729e-7,2.4000000000000004,1,close
FALSE,0.2558828116573005,8.955893020176341e-7,2.5000000000000004,1,close
FALSE,0.22706172004591357,7.947156051783951e-7,2.6,1,close
FALSE,0.2116005619474207,7.406016062971158e-7,2.7,1,close
FALSE,0.20135011857423168,7.047250850687425e-7,2.8000000000000003,1,close
FALSE,0.18442733691502075,6.45495394045126e-7,2.9000000000000004,1,close
FALSE,0.17516158427851872,6.13065289702272e-7,3.0000000000000004,1,close
FALSE,0.16238172124544026,5.683358077733823e-7,3.1,1,close
FALSE,0.15807106985615132,5.532485415861581e-7,3.2,1,close
FALSE,0.14647302477625526,5.12655410286479e-7,3.3000000000000003,1,close
FALSE,0.13773664540228744,4.820781040695937e-7,3.4000000000000004,1,close
FALSE,0.12773059139405074,4.470569344528468e-7,3.5000000000000004,1,close
FALSE,0.11949927834239021,4.1824735929257675e-7,3.6,1,close
FALSE,0.11414444787375894,3.995054623500607e-7,3.7,1,close
FALSE,0.10688129270492898,3.74084430451159e-7,3.8000000000000003,1,close
FALSE,0.10377677782567074,3.632186340400985e-7,3.9000000000000004,1,close
FALSE,0.09859733295331655,3.450905850588977e-7,4,1,close
FALSE,0.09258387223661729,3.2404348357483893e-7,4.1,1,close
FALSE,0.08564668592140677,2.9976334056855384e-7,4.2,1,close
FALSE,0.08614105348984623,3.0149362672730834e-7,4.3,1,close
FALSE,0.08271934260262107,2.895176430284515e-7,4.3999999999999995,1,close
FALSE,0.07797239636683188,2.7290333698791183e-7,4.5,1,close
FALSE,0.07524069454263982,2.633423846323379e-7,4.6,1,close
FALSE,0.07161005062825883,2.5063513534854967e-7,4.7,1,close
FALSE,0.06797846594294674,2.3792459279813015e-7,4.8,1,close
FALSE,0.0649306150956162,2.27257117963824e-7,4.9,1,close
FALSE,0.06280058282095789,2.198020071745924e-7,5,1,close
FALSE,0.05932631679337652,2.076420803079897e-7,5.1,1,close
FALSE,0.0579471963701957,2.0281515899139187e-7,5.2,1,close
FALSE,0.05562175237168966,1.946761076753223e-7,5.3,1,close
FALSE,0.05403299277218033,1.891154512647292e-7,5.4,1,close
FALSE,0.051766024713763195,1.811810644986312e-7,5.5,1,close
FALSE,0.05088372858640773,1.7809302895005457e-7,5.6,1,close
FALSE,0.04833790647450365,1.6918265335133796e-7,5.7,1,close
FALSE,0.048014983096567494,1.680524216042321e-7,5.8,1,close
FALSE,0.04663918535057231,1.6323713081682737e-7,5.9,1,close
FALSE,0.04275479932573457,1.4964178263927621e-7,6,1,close
FALSE,0.04094263152310788,1.4329919648801826e-7,6.1,1,close
FALSE,0.041291697573680404,1.445209275381793e-7,6.2,1,close
FALSE,0.04003719681889314,1.4013017569193412e-7,6.3,1,close
FALSE,0.03912580202668795,1.3694029454569279e-7,6.4,1,close
FALSE,0.03738827229877941,1.3085894143430197e-7,6.5,1,close
